WKT,date,time,victims
"POINT (25.60521 42.42674)",25.2.2021,19:00,injured
"POINT (24.24298 42.42929)",20.7.2022,13:40,died
"POINT (25.63797 42.43127)",19.1.2021,09:15,unharmed
"POINT (25.6436077833 42.4313412167)",16.8.2024,16:38,injured
"POINT (25.6370918667 42.4328561167)",20.10.2024,14:10,unharmed
"POINT (23.8170926407 42.4417640339)",12.6.2024,11:10,injured
"POINT (27.4234196 42.463393)",21.6.2024,17:10,injured
"POINT (27.43298 42.46601)",20.1.2023,14:52,unharmed
"POINT (27.42713 42.47206)",4.10.2021,14:46,injured
"POINT (27.4350153595 42.4734322123)",20.3.2025,08:19,injured
"POINT (26.5207 42.47544)",12.9.2021,13:30,unharmed
"POINT (26.52037 42.47564)",8.4.2022,19:45,unharmed
"POINT (26.4817 42.47626)",25.5.2022,17:09,unharmed
"POINT (26.48724 42.47651)",21.6.2022,10:57,injured
"POINT (27.4441638484 42.47654629)",15.4.2024,18:08,injured
"POINT (26.51983 42.47656)",19.9.2023,12:15,unharmed
"POINT (26.51905 42.47718)",21.9.2021,08:30,unharmed
"POINT (26.51822 42.47805)",4.8.2023,15:40,injured
"POINT (26.51086 42.48325)",25.10.2023,13:07,injured
"POINT (27.3794587196 42.485494321)",5.3.2025,08:31,unharmed
"POINT (26.50744 42.48559)",14.5.2021,16:01,unharmed
"POINT (26.51132 42.48758)",6.5.2023,10:35,unharmed
"POINT (26.50671 42.48828)",14.11.2023,04:55,injured
"POINT (26.49828 42.48989)",24.10.2022,19:39,injured
"POINT (26.493 42.49125)",14.6.2021,07:55,injured
"POINT (26.493 42.49125)",14.6.2021,07:55,unharmed
"POINT (26.0108 42.49127)",17.2.2023,13:25,injured
"POINT (27.466592 42.4912729)",18.8.2024,18:51,injured
"POINT (27.4609198592 42.4915797974)",28.2.2025,18:45,unharmed
"POINT (27.4612501945 42.4918220234)",17.3.2025,17:52,injured
"POINT (26.51357 42.49183)",16.7.2023,23:49,unharmed
"POINT (26.0067660482 42.4918339266)",16.11.2024,10:20,injured
"POINT (26.51354995 42.4920678333)",4.3.2024,13:20,unharmed
"POINT (26.0084162432 42.4923077804)",11.3.2024,10:05,injured
"POINT (26.00834 42.49241)",17.8.2022,10:20,injured
"POINT (26.0110307936 42.4967271253)",15.1.2024,07:55,unharmed
"POINT (27.47378 42.49881)",20.7.2021,19:22,injured
"POINT (27.47609 42.49916)",10.5.2022,08:52,injured
"POINT (27.477735 42.500911)",22.6.2024,18:26,unharmed
"POINT (26.51826 42.50387)",27.5.2022,07:55,injured
"POINT (24.18462 42.50457)",4.12.2021,15:00,injured
"POINT (24.18462 42.50457)",4.12.2021,15:00,injured
"POINT (24.1848002333 42.5047008)",13.9.2024,19:00,injured
"POINT (27.47784 42.50474)",6.8.2021,17:28,injured
"POINT (27.46587 42.50736)",5.8.2021,18:35,injured
"POINT (27.4464 42.51203)",21.6.2021,07:47,injured
"POINT (27.47406 42.51246)",30.12.2022,08:00,injured
"POINT (27.4657785667 42.5132257)",11.9.2024,00:18,injured
"POINT (27.4659 42.51422)",14.4.2022,07:55,injured
"POINT (27.4638978874 42.5145035205)",30.5.2024,10:28,unharmed
"POINT (27.45063 42.51544)",13.2.2023,17:35,injured
"POINT (26.4821738229 42.5165530505)",5.1.2024,18:11,injured
"POINT (26.05865 42.52086)",18.1.2021,17:50,injured
"POINT (27.43642 42.52199)",9.11.2021,15:24,unharmed
"POINT (27.4525706842 42.5257921901)",14.3.2025,18:17,unharmed
"POINT (27.456959 42.529869)",6.3.2024,15:10,unharmed
"POINT (25.5597209167 42.5486786333)",9.4.2024,09:00,injured
"POINT (23.4455660823 42.5529512425)",8.7.2024,18:30,died
"POINT (27.64023 42.55745)",5.10.2021,08:20,unharmed
"POINT (27.63926 42.55753)",25.9.2022,10:30,injured
"POINT (27.637 42.56034)",19.5.2023,13:00,injured
"POINT (26.37449 42.56372)",22.6.2021,14:30,injured
"POINT (27.6297760901 42.5639928095)",30.6.2024,19:05,unharmed
"POINT (27.6107159832 42.5656481729)",18.3.2025,13:40,unharmed
"POINT (27.610735 42.56775)",19.12.2024,14:55,injured
"POINT (27.6139230063 42.5687668755)",7.3.2024,14:20,injured
"POINT (26.31038 42.57274)",12.7.2022,11:45,injured
"POINT (27.29587 42.57334)",1.8.2022,11:30,injured
"POINT (27.29497 42.57847)",2.7.2021,12:49,injured
"POINT (23.35243 42.58168)",5.7.2021,12:40,unharmed
"POINT (26.37144 42.58934)",13.11.2023,10:00,injured
"POINT (25.2094097833 42.5953593)",28.9.2024,16:55,injured
"POINT (26.68915 42.59966)",22.5.2021,12:47,injured
"POINT (23.59707 42.60552)",19.5.2022,17:25,injured
"POINT (23.113006482 42.6062095692)",14.7.2024,18:30,unharmed
"POINT (23.0385659 42.6080456)",16.10.2024,18:09,injured
"POINT (23.0984431145 42.6085464609)",10.4.2024,16:40,injured
"POINT (25.366777 42.615269)",16.11.2024,19:10,unharmed
"POINT (25.4267539 42.6156106167)",18.12.2024,14:30,injured
"POINT (23.40173 42.61641)",22.6.2023,11:30,unharmed
"POINT (23.40173 42.61641)",22.6.2023,11:30,injured
"POINT (25.37629 42.61742)",15.1.2024,17:02,unharmed
"POINT (25.3704340833 42.6175254333)",30.5.2024,20:50,died
"POINT (25.40271225 42.6189254667)",13.3.2025,16:47,unharmed
"POINT (25.40441 42.62073)",5.1.2021,07:20,injured
"POINT (25.40252 42.62161)",18.6.2024,07:20,injured
"POINT (25.394387 42.62163)",11.1.2024,19:00,unharmed
"POINT (25.3885843 42.62183645)",25.8.2024,17:40,unharmed
"POINT (25.3899663833 42.6221363)",28.5.2024,09:35,injured
"POINT (23.39734 42.62284)",30.9.2023,17:45,unharmed
"POINT (25.389483 42.623109)",17.9.2024,16:30,injured
"POINT (23.40536 42.62344)",3.10.2023,18:50,injured
"POINT (25.79798 42.62485)",27.3.2021,15:40,injured
"POINT (26.27541 42.62828)",11.7.2022,07:45,injured
"POINT (26.2898754251 42.6285400671)",5.8.2024,17:50,injured
"POINT (23.3123049713 42.6409703315)",28.1.2025,15:19,injured
"POINT (23.28611 42.64238)",8.9.2021,13:50,unharmed
"POINT (23.2861 42.64248)",10.8.2021,11:00,unharmed
"POINT (23.3137684545 42.6446084126)",8.6.2024,10:30,injured
"POINT (23.37509 42.64462)",27.8.2021,14:00,injured
"POINT (23.26466 42.64567)",7.9.2021,18:30,injured
"POINT (26.11405 42.64687)",28.7.2022,23:27,died
"POINT (26.98253 42.64805)",9.8.2023,13:58,injured
"POINT (23.38014 42.64808)",25.4.2023,14:27,unharmed
"POINT (26.3304234651 42.6493012496)",23.9.2024,07:15,unharmed
"POINT (27.64691 42.6497)",15.9.2022,18:40,unharmed
"POINT (23.62931 42.6503)",2.10.2021,12:20,injured
"POINT (26.98022 42.65107)",27.4.2023,16:47,injured
"POINT (23.3164700354 42.6512622139)",28.4.2024,12:00,injured
"POINT (23.3563116961 42.6513934811)",16.6.2024,20:15,injured
"POINT (23.2658706235 42.6514633127)",26.9.2024,13:45,injured
"POINT (23.3470904326 42.6528767011)",12.4.2024,19:40,unharmed
"POINT (23.3695900917 42.6545565835)",5.1.2024,09:00,unharmed
"POINT (23.3159198167 42.6569745833)",28.2.2025,09:07,injured
"POINT (23.3538960151 42.657317217)",21.2.2025,13:30,unharmed
"POINT (23.34976 42.65742)",27.4.2022,07:30,injured
"POINT (27.70218126 42.65821693)",18.9.2024,20:42,injured
"POINT (27.70218126 42.65821693)",18.9.2024,20:42,injured
"POINT (23.30024 42.65856)",11.4.2021,17:30,injured
"POINT (23.34844 42.65885)",15.6.2021,14:00,injured
"POINT (26.50592 42.65893)",25.9.2022,13:00,injured
"POINT (23.37312 42.66016)",16.5.2022,17:00,injured
"POINT (23.59254 42.66019)",9.2.2021,09:45,died
"POINT (26.46161 42.66084)",17.7.2023,17:00,injured
"POINT (23.2729635341 42.6608736802)",1.11.2024,15:15,injured
"POINT (23.29548 42.66122)",30.10.2023,14:55,unharmed
"POINT (23.29439 42.66144)",20.7.2023,20:15,injured
"POINT (23.3561379915 42.6627074338)",7.3.2025,18:05,unharmed
"POINT (26.33433 42.66303)",11.2.2023,15:26,injured
"POINT (23.45701 42.66312)",23.8.2022,21:00,injured
"POINT (23.29123 42.66314)",14.3.2023,08:45,unharmed
"POINT (23.2855460046 42.6634282533)",15.1.2025,13:11,unharmed
"POINT (23.3756 42.66378)",13.10.2022,17:45,unharmed
"POINT (23.34842 42.66433)",4.8.2021,09:50,unharmed
"POINT (26.2994 42.66437)",20.7.2023,17:45,injured
"POINT (23.34376 42.66443)",24.8.2022,08:10,unharmed
"POINT (23.34376 42.66443)",24.8.2022,08:10,injured
"POINT (23.3435609439 42.6645914937)",3.4.2025,12:30,unharmed
"POINT (23.29027 42.66477)",20.9.2022,10:50,injured
"POINT (27.71519 42.66525)",20.8.2023,08:53,injured
"POINT (23.35459 42.66538)",12.6.2023,21:15,injured
"POINT (23.3154746142 42.6656312134)",9.4.2024,14:00,unharmed
"POINT (23.2847743108 42.6658625741)",9.4.2025,18:40,unharmed
"POINT (23.29006 42.66642)",1.11.2022,08:30,injured
"POINT (23.35778 42.66646)",17.10.2022,13:30,injured
"POINT (23.35926 42.66692)",27.5.2022,19:10,injured
"POINT (23.35941 42.66706)",6.9.2022,10:10,injured
