WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (24.719353 42.152291, 24.719633 42.150876, 24.720395 42.150646, 24.7212 42.149906, 24.722359 42.149971, 24.723132 42.149813, 24.725409 42.146755, 24.726486 42.143892, 24.725793 42.139557, 24.725197 42.135421, 24.725593 42.134336, 24.725603 42.133745, 24.725418 42.133129, 24.723215 42.129935, 24.720037 42.125778, 24.719738 42.125732, 24.719192 42.126011, 24.718753 42.126385, 24.717802 42.127684)",Велоалеи,1.0,Пловдив,бул. Копривщица,,,
"LINESTRING (24.725409 42.146755, 24.740502 42.149138, 24.741821 42.136242, 24.741655 42.135228, 24.731919 42.133322, 24.727799 42.133259, 24.727123 42.133466, 24.726447 42.133911, 24.725672 42.134876, 24.725616 42.136198, 24.72531 42.136234)",Велоалеи,1.0,Пловдив,бул. 6-ти Септември - бул. Руски -  бул. Христо Ботев,,,
"LINESTRING (24.733719 42.14152, 24.738462 42.138774, 24.741821 42.136242)",Велоалеи,1.0,Пловдив,бул. Васил Априлов,,,
"LINESTRING (24.716859 42.150718, 24.716894 42.150803, 24.717134 42.15096, 24.717072 42.151554, 24.720346 42.15263, 24.741907 42.152742, 24.745184 42.15316, 24.753595 42.154488, 24.757134 42.154678, 24.760997 42.154408, 24.763228 42.154121, 24.765974 42.154056, 24.768827 42.154438, 24.772711 42.155695, 24.775701 42.157329, 24.779322 42.159589, 24.780039 42.15978, 24.780927 42.159829)",Велоалеи,1.0,Пловдив,бул. Марица,,,
"LINESTRING (24.740496 42.124194, 24.743008 42.128872, 24.743203 42.130049, 24.742219 42.130938, 24.738706 42.131826, 24.72653 42.12991, 24.725696 42.128369)",Велоалеи,1.0,Пловдив,ул. Калиакра -  ул. Македония,,,
"LINESTRING (24.758642 42.118894, 24.756641 42.118774, 24.756098 42.118908, 24.755834 42.119186, 24.755209 42.122699, 24.754884 42.122806, 24.752851 42.122563, 24.750125 42.122465, 24.745511 42.123147, 24.740982 42.12402, 24.733254 42.12643, 24.722602 42.129147)",Велоалеи,1.0,Пловдив,бул. Никола Вапцаров,,,
"LINESTRING (24.738462 42.138774, 24.740969 42.140415, 24.741394 42.1404)",Велоалеи,1.0,Пловдив,бул. Любен Каравелов,,,
"LINESTRING (24.792381 42.148208, 24.777214 42.149342, 24.774619 42.149212, 24.763033 42.146989, 24.758582 42.146225, 24.751728 42.144157)",Велоалеи,1.0,Пловдив,бул. Княгиня Мария Луиза,,,
"LINESTRING (24.75602 42.152044, 24.760184 42.153049, 24.763232 42.153003, 24.766196 42.152848, 24.771137 42.153048, 24.777151 42.149858, 24.777214 42.149342, 24.783579 42.146016, 24.785738 42.143358, 24.786614 42.14218, 24.791113 42.139058, 24.79128 42.13734, 24.790804 42.135605, 24.789724 42.13464, 24.784611 42.132021, 24.776273 42.130537, 24.770155 42.127186)",Велоалеи,1.0,Пловдив,бул. Освобождение -  бул. 6-ти Септември,,,
"LINESTRING (24.763333 42.135512, 24.773997 42.13922, 24.785738 42.143358)",Велоалеи,1.0,Пловдив,бул. Санкт Петербург,,,
